"Credit Card","Cartão de crédito"
"Pix","Pix"
"An error occurred in your payment, Please contact the store.","Ocorreu um erro no seu pagamento. Por favor, entre em contato com a loja."
"Installments","Parcelas"
"Credit Card Holder Name","Nome do Titular do Cartão"
"Credit Card Number","Número do Cartão de Credito"
"Expiration Date","Data de expiração"
"Card Verification Number","CVV"
"Order status when payment is approved","
"Order status when payment is pending"
"Order status when payment is rejected"
"Order status when payment is canceled"
"Pix Expiration","Expiração do Pix"
"Payment Action","Ação do Pagamento"
"Maximum number of installments","Número máximo de parcelas"
"Minimum amount to show installment","Valor mínimo para exibir parcela"
"keep empty or zero to always show","Deixe vazio ou zero para sempre exibir"
"Credentials","Credenciais"
"Status Management","Gerenciamento de status"
"15 minutes","15 minutos"
"30 minutes","30 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"24 hours","24 horas"
"Receive payments with Credit Cards, Pix, Open Finance, and Boleto Bancário. <br/> Approve with more security with our included anti-fraud system.","Receba pagamentos com Cartões de Crédito, Pix, Open Finance e Boleto Bancário. <br/> Aprove com mais segurança com nosso antifraude incluso."
"Pay %1 %2 via pix","Pagar %1 %2 via pix"
"to %1","para %1"
"Awaiting payment","Agurdando pagamento"
"Payment received","Pagamento recebido"
"Expired payment","Pagamento expirou"
"Payment failure","Falha no pagamento"
"Identifier: ","Identificador: "
"order: ","Pedido: "
"Powered by Payments by Payco","Powered by Payments by Payco"
"Terms of use","Termos de  uso"
"Privacy policies","Políticas de privacidade"
"Go to order","Ir para o pedido"
"Copy QrCode copy and paste","Copiar QRCODE copia e cola"
"Pix key copied successfully!","Chave Pix copiada com sucesso!"
"Share Payment","Compartilhar pagamento"
"%1x of %2 (with interest)","%1x de %2 (com juros)"
"%1x of %2 (without interest)","%1x de %2 (sem juros)"
"Apply Interest","Aplicar Juros"
"Addition","Acréscimo"